label,description
0,emerald green velvet curtains with gold tassels
1,emerald green velvet curtains with gold tassel tiebacks
2,emerald green velvet curtains with golden tassels
3,emerald velvet curtains with golden tassels
4,emerald green velvet curtains with gold tassel accents
5,"a crimson sunset reflected in a still, black lake"
6,a crimson sunset reflected in a still lake
7,a constellation of silver stars scattered across a midnight blue canvas
8,a constellation of silver stars scattered across a midnight canvas
9,a constellation of silver stars on a midnight blue canvas
10,a quilt of sapphire and amber hexagons
11,a quilt of sapphire and ivory hexagons
12,a mustard-yellow trench coat with leather buckles
13,a mustard yellow trench coat with leather accents
14,a deep indigo night sky dotted with twinkling stars
15,a deep indigo sky dotted with twinkling stars
16,a deep indigo sky dotted with twinkling constellations
17,a deep indigo sky dotted with shimmering constellations
18,a deep indigo sky dotted with shimmering stars
19,a deep indigo sky speckled with twinkling stars
20,"a deep indigo sky dotted with faint, twinkling stars"
21,a charcoal black leather jacket with quilted shoulders
22,a jet-black leather jacket with quilted shoulders
23,a crimson velvet armchair with brass studs
24,a crimson velvet armchair with brass nailhead trim
25,a labyrinth of indigo and violet spirals
26,a labyrinth of indigo and violet ribbons intertwined
27,a golden sunset casting long shadows over rolling sand dunes
28,a golden sunset casting long shadows over a desert dune
29,a midnight blue satin dress with silver embroidery
30,a midnight blue velvet dress with silver embroidery
31,a field of lavender under a pale pink sky
32,a field of lavender under a soft pink sky
33,a field of lavender under a pale pink twilight sky
34,a field of lavender under a pale pink dawn sky
35,a lavender field under a pale pink sky
36,a mosaic of ivory and jade tiles forming a spiral pattern
37,a mosaic of jade and ivory tiles forming a geometric pattern
38,emerald vines twisting around a stone archway
39,emerald vines twisting around a weathered stone arch
40,emerald vines curling around a weathered stone archway
41,a mosaic of amber and sapphire tiles forming a star pattern
42,a mosaic of sapphire and amber tiles forming a star pattern
43,a mosaic of sapphire and amber tiles forming a radiant star
44,a mosaic of sapphire and amber tiles forming a starry pattern
45,a jagged mountain range silhouetted against a fiery orange sunset
46,a jagged mountain range silhouetted against a fiery orange horizon
47,a crimson velvet armchair with ornate wooden legs
48,a crimson velvet armchair with intricate wooden carvings
49,a crimson velvet armchair with carved wooden legs
50,a vintage leather satchel with brass buckles and a worn patina
51,a vintage leather satchel with brass buckles and stitching
52,a vintage leather satchel with brass buckles
53,a vintage leather satchel with brass hardware and intricate stitching
54,a vintage leather satchel with brass hardware
55,a rustic wooden cabin surrounded by autumn foliage
56,a rustic wooden cabin surrounded by autumn leaves
57,a navy blue trench coat with brass buttons and a belted waist
58,a navy blue trench coat with brass buckles
59,a navy blue trench coat with brass buttons
60,a constellation of silver stars scattered across a midnight sky
61,a constellation of silver stars scattered across a midnight blue sky
62,a misty morning over a tranquil lake
63,"a misty morning over a tranquil, glassy lake"
64,a midnight blue cloak adorned with constellations of silver stars
65,a midnight blue cloak embroidered with silver stars
66,a midnight blue cloak embroidered with silver constellations
67,a midnight blue cloak lined with silver stars
68,a midnight blue cloak with silver star embellishments
69,a midnight blue cloak adorned with silver constellations
70,a midnight blue velvet cloak with silver star motifs
71,charcoal gray trousers with pleated detailing
72,a pair of charcoal gray wool trousers with pleated detailing
73,a field of sunflowers under a cloudless azure sky
74,a field of sunflowers under a cloudless sky
75,a field of sunflowers under a cloudless blue sky
76,a mosaic of sapphire and amber tiles forming a spiral pattern
77,a mosaic of amber and sapphire tiles forming a swirling pattern
78,a mosaic of amber and sapphire tiles forming a spiral pattern
79,a mosaic of sapphire and amber tiles forming a swirling pattern
80,a stormy sea with frothy white waves
81,a stormy sea with waves capped in frothy white
82,a navy blue velvet jacket with brass buttons and satin lapels
83,a navy blue velvet jacket with brass buttons
84,a quilt of indigo and ochre hexagons stitched together
85,a quilt of indigo and ivory hexagons
86,a quilt made of indigo and ivory hexagons
87,a quilt of ochre and indigo hexagons stitched together
88,a deep indigo scarf with golden geometric patterns
89,a deep indigo scarf with golden embroidery
90,"a meadow of wildflowers in shades of pink, yellow, and blue"
91,"a field of wildflowers in shades of pink, yellow, and blue"
92,olive green cargo pants with oversized pockets
93,a pair of olive green cargo pants with multiple pockets
94,a pair of olive green cargo pants with oversized patch pockets
95,a pair of olive green cargo pants with oversized pockets
96,olive green cargo pants with multiple zippered pockets
97,a pair of olive green cargo pants with multiple utility pockets
98,olive green cargo pants with multiple utility pockets
99,a pair of olive green cargo pants with oversized pockets and drawstring hems
100,a geometric pattern of indigo diamonds and ivory circles
101,a geometric pattern of ochre and indigo diamonds
102,a geometric pattern of indigo diamonds and golden circles
103,a geometric pattern of indigo and ochre diamonds
104,a mosaic of amber and jade tiles forming a floral pattern
105,a mosaic of sapphire and amber tiles forming a floral pattern
106,navy blue suede boots with brass buckles
107,a pair of navy blue suede boots with brass buckles
108,a swirling galaxy of turquoise and gold nebulae
109,a swirling galaxy of turquoise and silver stars
110,a midnight blue velvet dress with pearl accents
111,a midnight-blue velvet dress with a high slit and pearl accents
112,a midnight blue velvet dress with pearl embellishments
113,a geometric pattern of cobalt blue and ochre diamonds
114,a geometric pattern of ochre and slate blue diamonds
115,emerald green vines cascading down a moss-covered stone wall
116,emerald vines cascading down a moss-covered stone wall
117,a pair of rust-colored suede boots with brass buckles
118,a pair of rust-colored leather boots with brass buckles
